Attack_Family,Feature,Count,Mean,Median,Std,Min,Max
patator,Flow Duration,13835,5218976.002096133,4018946.0,5524705.96531364,0.0,119816717.0
patator,Flow IAT Mean,13835,163632.30403531188,169839.1786,178870.7309978378,0.0,4130073.448
patator,Flow IAT Max,13835,1463178.8996024576,1895599.0,2016256.6226711755,0.0,115000000.0
patator,Flow IAT Min,13835,85.0393205637875,4.0,1426.591396037258,-1.0,40626.0
patator,Packet Length Mean,13835,24.51677772121583,11.24,33.58149709204934,0.0,149.3809524
patator,Packet Length Std,13835,46.6581503105416,12.28576412,75.13788104180985,0.0,321.1567448
patator,Packet Length Variance,13835,7822.684157537858,150.94,14943.661511967415,0.0,103141.6548
patator,Average Packet Size,13835,25.935646129908637,12.16666667,33.801350159061236,0.0,156.85
patator,Fwd Packets/s,13835,68588.1422506675,2.59650787,235177.55476892611,0.0,2000000.0
patator,Bwd Packets/s,13835,4458.471729128214,2.628669174,22587.281434518853,0.0,1000000.0
patator,Flow Packets/s,13832,73062.45694128177,5.8863798145,237928.51247400852,0.250475632,3000000.0
patator,Fwd Packet Length Max,13835,147.99783158655583,18.0,257.3490520314626,0.0,1432.0
patator,Bwd Packet Length Max,13835,218.5791109504879,34.0,395.42242819929413,0.0,976.0
patator,Fwd Packet Length Min,13835,0.014600650524033249,0.0,0.4887643025501701,0.0,24.0
patator,Bwd Packet Length Min,13835,0.0,0.0,0.0,0.0,0.0
patator,Total Length of Fwd Packets,13835,464.3436935308999,90.0,808.3192587402569,0.0,3832.0
patator,Total Length of Bwd Packets,13835,643.1754246476328,188.0,1107.8561721842743,0.0,5673.0
patator,Init_Win_bytes_forward,13835,14795.12034694615,29200.0,14478.998655464848,227.0,29200.0
patator,Init_Win_bytes_backward,13835,172.41250451752802,227.0,267.8296597159155,-1.0,28960.0
patator,Bwd Header Length,13835,370.83050234911457,328.0,398.9123635138698,0.0,1456.0
dos,Flow Duration,20000,55503073.16275,84551302.0,45866529.89042421,0.0,119698140.0
dos,Flow IAT Mean,20000,5364956.902073076,6567931.0,7224554.632698353,0.0,116000000.0
dos,Flow IAT Max,20000,54266448.7389,84000000.0,45542594.21595856,0.0,119000000.0
dos,Flow IAT Min,20000,499830.6052,3.0,5702375.374829517,-1.0,116000000.0
dos,Packet Length Mean,20000,562.9024912112964,795.0666667,432.01042024691947,0.0,1633.870707
dos,Packet Length Std,20000,1162.940158615087,1487.465561,936.9399441920887,0.0,4084.579378
dos,Packet Length Variance,20000,2230377.782530702,2212553.796,2271649.8719391515,0.0,16700000.0
dos,Average Packet Size,20000,609.5734013692768,851.8571429,470.711129481819,0.0,1983.0
dos,Fwd Packets/s,20000,171915.44799335487,0.094042933,437411.20086509257,0.0,3000000.0
dos,Bwd Packets/s,20000,551.8387470322587,0.0606917045,14403.819974788474,0.0,1000000.0
dos,Flow Packets/s,19939,172994.9212501867,0.163751814,438586.8948371226,0.017188058,3000000.0
dos,Fwd Packet Length Max,20000,232.0749,324.0,184.10351216093082,0.0,5792.0
dos,Bwd Packet Length Max,20000,3819.3888,4344.0,3186.140242289181,0.0,17376.0
dos,Fwd Packet Length Min,20000,2.6543,0.0,62.65957781145673,0.0,1983.0
dos,Bwd Packet Length Min,20000,0.01105,0.0,0.262541230095389,0.0,11.0
dos,Total Length of Fwd Packets,20000,301.05975,334.0,385.1994009340325,0.0,13712.0
dos,Total Length of Bwd Packets,20000,8129.5984,11595.0,78909.82673197311,0.0,7879536.0
dos,Init_Win_bytes_forward,20000,3577.74705,251.0,9313.284756156998,0.0,29200.0
dos,Init_Win_bytes_backward,20000,248.39955,235.0,1578.7252842118537,-1.0,28960.0
dos,Bwd Header Length,20000,141.0008,200.0,661.3939691283555,0.0,66208.0
ddos,Flow Duration,20000,17212049.2753,1964944.5,31218586.12925852,0.0,103117857.0
ddos,Flow IAT Mean,20000,1911039.9663459363,519731.375,2600021.2895789472,0.0,44200000.0
ddos,Flow IAT Max,20000,16089663.2426,1963957.5,28891198.5822502,0.0,101000000.0
ddos,Flow IAT Min,20000,4264.0858,4.0,358987.4647703507,-1.0,44200000.0
ddos,Packet Length Mean,20000,730.9484044704113,833.5,585.0697255545894,2.0,1936.833333
ddos,Packet Length Std,20000,1572.2164942788138,1859.875946,1336.992714475927,0.0,4731.522394
ddos,Packet Length Variance,20000,4258792.360409228,3459138.533,4593193.998062136,0.0,22400000.0
ddos,Average Packet Size,20000,815.9176544970896,897.6153846,659.4177235471876,3.0,2324.2
ddos,Fwd Packets/s,20000,59.99978586286064,1.6556282260000001,2292.681423860659,0.0,250000.0
ddos,Bwd Packets/s,20000,50.37588926710106,0.07015088350000001,1933.2754576782418,0.0,250000.0
ddos,Flow Packets/s,19999,110.3811941925918,2.430759807,4173.7241363983585,0.036869681,500000.0
ddos,Fwd Packet Length Max,20000,14.841,20.0,6.753570833270352,6.0,20.0
ddos,Bwd Packet Length Max,20000,4597.57645,5755.0,3993.365871712157,0.0,11595.0
ddos,Fwd Packet Length Min,20000,2.2095,0.0,2.8939781875473765,0.0,6.0
ddos,Bwd Packet Length Min,20000,0.5599,0.0,27.495379829891426,0.0,1375.0
ddos,Total Length of Fwd Packets,20000,31.9926,26.0,12.048765299398939,6.0,68.0
ddos,Total Length of Bwd Packets,20000,7326.6973,11601.0,5597.565991578189,0.0,11613.0
ddos,Init_Win_bytes_forward,20000,3831.17205,256.0,4032.4076266975785,0.0,29200.0
ddos,Init_Win_bytes_backward,20000,144.4635,229.0,110.89172722863505,-1.0,229.0
ddos,Bwd Header Length,20000,72.1568,92.0,56.72013587571877,0.0,172.0
