Feature,Detected_Mean,Missed_Mean,Detected_Median,Missed_Median,Detected_Std,Missed_Std,Relative_Difference
Average Packet Size,1289.254940474609,8.783781985754036,1292.555556,7.2,289.50076111174144,34.46113507747024,0.9931869316835709
Bwd IAT Min,120.80643078715732,2.3660428027292904,16.0,0.0,845.0653135746738,176.9088256981367,0.9804145955782907
Init_Win_bytes_forward,5966.694789550758,263.79700216479876,8192.0,256.0,3736.72275097618,249.15342435211014,0.9557884203114038
Idle Max,20893740.978758246,5219179.63365577,0.0,6043704.0,34926373.782109275,5200468.648014548,0.7502036787494455
Flow Duration,23142988.773316327,6239021.15849615,1034491.0,6044881.0,37397707.87694811,4363070.18027597,0.7304141993237413
Fwd IAT Total,22452273.712960776,6238150.878689064,10942.0,6044861.0,37394141.84395815,4362938.307630991,0.7221595033785805
Flow IAT Max,21388259.705607254,6235477.0496259555,1028869.0,6043704.0,34634458.98497668,4337309.03249867,0.7084626269059547
Fwd IAT Max,20899783.664005544,6234787.001342723,10559.0,6043026.0,34922765.67323125,4337984.094025701,0.7016817445780299
Fwd Packet Length Max,19.996252381627222,6.01803085523251,20.0,6.0,0.22902715673643137,0.5021093208318621,0.699042063428796
Idle Mean,15916295.972695922,5215135.022360452,0.0,6043704.0,28373931.969747428,5153527.16929748,0.6723399067655621
FIN Flag Count,0.000267687026626986,0.0001096100622037103,0.0,0.0,0.016359082624030807,0.010469052067044246,0.5905268398259385
Fwd IAT Std,7752733.588932584,3341479.2588050603,6873.077913,3256196.168,12956261.656587822,2313284.4182606856,0.5689934111014482
Idle Min,10938876.032185428,5211101.492724632,0.0,6043674.0,26164178.941258553,5136543.789931735,0.5236163681358101
Flow Bytes/s,72804.78421710044,37674.42706630799,11225.08057,4.462321828,189048.83590882304,2020427.9645337726,0.4825281405413537
Flow IAT Std,6140742.019886622,3341004.476689227,383682.238,3256196.168,9851767.407838726,2306475.7950973655,0.45592821423380475
Fwd IAT Mean,3144483.8946568496,1809819.8792026995,5505.0,1731296.667,5239528.908664751,1296544.1949896163,0.42444612857519454
Fwd Packet Length Mean,8.203513678191632,6.001444417042173,8.666666667,6.0,0.7958650881530449,0.09423132344562973,0.2684300102692642
Avg Fwd Segment Size,8.203513678191632,6.001444417042173,8.666666667,6.0,0.7958650881530449,0.09423132344562973,0.2684300102692642
Subflow Fwd Bytes,34.68216102161966,27.126627024360836,26.0,30.0,14.056852981396009,3.473754402867623,0.2178507271311934
Total Length of Fwd Packets,34.68216102161966,27.126627024360836,26.0,30.0,14.056852981396009,3.473754402867623,0.2178507271311934
act_data_pkt_fwd,3.161808934448171,3.5191954621434247,2.0,4.0,1.8947075559742041,0.5747291461535227,0.11303229733095681
Fwd Header Length.1,101.01903727148188,90.42512262625709,72.0,100.0,46.840823369972135,11.499196517184915,0.10487047720173258
Fwd Header Length,101.01903727148188,90.42512262625709,72.0,100.0,46.840823369972135,11.499196517184915,0.10487047720173258
Flow IAT Mean,1925951.145549333,1809366.2171778001,145195.2857,1731296.667,3057033.555657896,1293380.8332356059,0.060533689362239566
Total Fwd Packets,4.449714204733336,4.520072342641054,3.0,5.0,2.341764793620684,0.5751281736439489,0.01581183299751325
Subflow Fwd Packets,4.449714204733336,4.520072342641054,3.0,5.0,2.341764793620684,0.5751281736439489,0.01581183299751325
RST Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd PSH Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd PSH Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWE Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bulk Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bulk Rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min_seg_size_forward,20.0,20.0,20.0,20.0,0.0,0.0,0.0
Active Std,0.0,0.0,0.0,0.0,0.0,0.0,0.0
