Feature,Model_Importance,Detected_Mean,Missed_Mean,Relative_Difference
act_data_pkt_fwd,0.004333018760713054,3.161808934448171,3.5191954621434247,0.11303229733095681
Fwd Header Length.1,0.01066796594094676,101.01903727148188,90.42512262625709,0.10487047720173258
Fwd Header Length,0.007497642772974938,101.01903727148188,90.42512262625709,0.10487047720173258
Flow IAT Mean,0.017223799676373736,1925951.145549333,1809366.2171778001,0.060533689362239566
Total Fwd Packets,0.005944197843792442,4.449714204733336,4.520072342641054,0.01581183299751325
Subflow Fwd Packets,0.00466076338350845,4.449714204733336,4.520072342641054,0.01581183299751325
RST Flag Count,3.92838267453973e-07,0.0,0.0,0.0
SYN Flag Count,0.0009630341586301528,0.0,0.0,0.0
Bwd PSH Flags,0.0,0.0,0.0,0.0
Fwd PSH Flags,0.0006831729171121152,0.0,0.0,0.0
Bwd URG Flags,0.0,0.0,0.0,0.0
Fwd URG Flags,0.0,0.0,0.0,0.0
CWE Flag Count,0.0,0.0,0.0,0.0
ECE Flag Count,7.793343557640519e-07,0.0,0.0,0.0
Bwd Avg Bulk Rate,0.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,0.0,0.0,0.0,0.0
Bwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0
Fwd Avg Bulk Rate,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,0.0,0.0,0.0,0.0
Fwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0
min_seg_size_forward,0.0037218962633675523,20.0,20.0,0.0
Active Std,0.0009447805894628905,0.0,0.0,0.0
