Feature,Importance
Bwd Packets/s,0.08346187336045029
Bwd Packet Length Std,0.07349773839739586
Packet Length Mean,0.06562701420038312
Init_Win_bytes_forward,0.047758163553215334
Average Packet Size,0.042650973621532896
Packet Length Variance,0.039718544993511386
Bwd Packet Length Mean,0.036772035706801084
Subflow Bwd Bytes,0.035383983650120646
Min Packet Length,0.03405093816268299
Bwd Packet Length Max,0.03391959905694391
Packet Length Std,0.03378897790867082
Init_Win_bytes_backward,0.03377498301698393
Max Packet Length,0.02868329951518568
Avg Bwd Segment Size,0.02736413547104427
Fwd Header Length,0.02507932563136002
Fwd Header Length.1,0.022624571595902396
Fwd Packet Length Mean,0.01930503045705974
Total Length of Bwd Packets,0.01641721146108265
Avg Fwd Segment Size,0.016086906457447037
Fwd IAT Mean,0.015221875259308843
Bwd Packet Length Min,0.014977607325363925
Flow IAT Mean,0.01397476393167529
Bwd Header Length,0.013950338338526835
Flow Bytes/s,0.013906782805151832
Total Backward Packets,0.013103809313787847
Fwd Packet Length Max,0.012290690983168612
Idle Max,0.012014209307866907
min_seg_size_forward,0.010322029126073325
Flow IAT Max,0.010240338878275107
Flow Packets/s,0.010231258168872359
Total Length of Fwd Packets,0.009269466447134665
Flow IAT Std,0.009007065916624552
Subflow Bwd Packets,0.008402783000926744
Subflow Fwd Bytes,0.008247380506910904
Fwd IAT Total,0.007755834858162728
Flow Duration,0.006069198896349649
Fwd IAT Max,0.005984559252398254
Fwd IAT Std,0.005967282001957914
Fwd Packet Length Min,0.005808796582983979
Total Fwd Packets,0.0056141677118389105
Fwd Packet Length Std,0.005537891590289393
Idle Mean,0.005528416455678956
act_data_pkt_fwd,0.0053629814928928266
Idle Min,0.005138386047757912
Subflow Fwd Packets,0.0050586581892610345
Fwd Packets/s,0.004703143493733061
Fwd IAT Min,0.004342908039406778
URG Flag Count,0.0037065256233563717
Active Mean,0.00343190986742927
Flow IAT Min,0.0034119794791197876
Active Min,0.0031277384451855244
FIN Flag Count,0.002757682688056825
Bwd IAT Mean,0.0026481490028476204
Bwd IAT Total,0.0024338658722807723
Bwd IAT Std,0.0024133925722476697
Active Max,0.002198246513676274
ACK Flag Count,0.0019510771829703748
SYN Flag Count,0.0015414966298490187
Bwd IAT Min,0.0015374353481494374
Bwd IAT Max,0.001295111885044949
Down/Up Ratio,0.0012571841062636645
PSH Flag Count,0.0010032382149331215
Active Std,0.0004996976490130406
Fwd PSH Flags,0.00044347927658445937
Idle Std,0.0003422606011244776
ECE Flag Count,9.994058893959258e-07
RST Flag Count,5.994958248207613e-07
Fwd URG Flags,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
Fwd Avg Bulk Rate,0.0
